objid	container	type	shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
i	i	i	h	i	f	f	f	f	f	f	f	f	i
-2146255511	0	1112885583	object/building/naboo/shared_power_generator_naboo_theed.iff	0	1348.81	5.96226	143.118	0.938444	0	0.345432	0	2000	0
-2142855020	0	1398030671	object/static/item/shared_item_comp_blaster_cannon.iff	0	921.718	6	125.416	-0.501901	0	0.864925	0	32	0
-2141062356	0	1398030671	object/static/structure/general/shared_palette_supply_03.iff	0	1204.28	-196.3	640.513	0.997888	0	0.0649542	0	32	0
-2140514387	0	1398030671	object/static/structure/naboo/shared_seawall_straight_naboo_theed_style_4.iff	0	474.67	0.0304036	225.922	0.998988	0	0.0449843	0	200	0
-2139869336	0	1398030671	object/static/item/shared_item_diagnostic_screen.iff	0	1215.71	6.75895	133.623	0.998201	0	0.0599641	0	32	0
-2137582825	0	1413566031	object/tangible/quest/shared_naboo_theed_stash_peddler_goods.iff	0	150.315	6	224.687	0.964382	0	-0.264513	0	50	0
-2132041428	0	1398030671	object/static/structure/naboo/shared_seawall_intersect_naboo_theed_style_2.iff	0	820.062	0.22756	116.377	0.674876	0	0.737931	0	200	0
-2130782379	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_crate_1.iff	0	406.976	6	147.81	0.988771	0	-0.149438	0	32	0
-2130683655	0	1413566031	object/tangible/terminal/shared_terminal_mission_entertainer.iff	0	456.217	6	155.69	1	0	0	0	50	0
-2130300132	0	1398030671	object/static/structure/general/shared_palette_supply_04.iff	0	1136.68	6	24.3735	-0.345432	0	0.938444	0	32	0
-2128419362	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_crate_1.iff	0	504.328	6	21.5845	-3.2e-008	0	1	0	32	0
-2127478854	0	1398030671	object/static/structure/general/shared_streetlamp_small_blue_style_01.iff	0	891.355	5.87351	512.564	0.995004	0	0.0998334	0	200	0
-2126718124	0	1413566031	object/tangible/furniture/all/shared_frn_all_tree_potted_s2.iff	0	1549.2	-197.22	646.533	0.777573	0	0.628793	0	50	0
-2115791403	0	1413566031	object/tangible/terminal/shared_terminal_bazaar.iff	0	1125.84	6	150.965	0.419322	0	0.907837	0	50	0
-2104128711	0	1398030671	object/static/structure/tatooine/shared_antenna_tatt_style_2.iff	0	1368.08	-196.641	797.146	1	0	0	0	256	0
-2102312915	0	1398030671	object/static/structure/naboo/shared_seawall_intersect_naboo_theed_style_2.iff	0	563.238	0.221359	47.5669	0.76161	0	0.648036	0	200	0
-2096664658	0	1112885583	object/building/naboo/shared_filler_nboo_bldg_64x32_s02.iff	0	303.016	6	8.5874	3.48e-007	0	1	0	512	0
-2094255330	0	1413566031	object/tangible/crafting/station/shared_public_food_station.iff	0	1205.73	6	54.1094	0.411596	0	0.911367	0	50	0
-2093773463	0	1398030671	object/static/structure/naboo/shared_streetlamp_naboo_theed_style_1.iff	0	991.616	6	38.6973	0.949235	0	0.314567	0	200	0
-2090498086	0	1112885583	object/building/naboo/shared_association_hall_civilian_naboo.iff	0	710.396	6	170.47	0.710912	0	-0.703281	0	512	1778397272
-942219052	-2090498086	1396919380	object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
-1720483051	-2090498086	1396919380	object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
-609843239	-2090498086	1396919380	object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
-751867451	-2090498086	1396919380	object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
-641399737	-2090498086	1396919380	object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	0	0
-977230724	-2090498086	1396919380	object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	0	0
-1246571693	-2090498086	1396919380	object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	0	0
-1674091023	-2090498086	1396919380	object/cell/shared_cell.iff	8	0	0	0	1	0	0	0	0	0
-1182814570	-2090498086	1396919380	object/cell/shared_cell.iff	9	0	0	0	1	0	0	0	0	0
-882045225	-2090498086	1396919380	object/cell/shared_cell.iff	10	0	0	0	1	0	0	0	0	0
-1550073655	-2090498086	1396919380	object/cell/shared_cell.iff	11	0	0	0	1	0	0	0	0	0
-409244986	-2090498086	1396919380	object/cell/shared_cell.iff	12	0	0	0	1	0	0	0	0	0
-280675418	-2090498086	1396919380	object/cell/shared_cell.iff	13	0	0	0	1	0	0	0	0	0
-2133527664	-2090498086	1396919380	object/cell/shared_cell.iff	14	0	0	0	1	0	0	0	0	0
-517957242	-2090498086	1396919380	object/cell/shared_cell.iff	15	0	0	0	1	0	0	0	0	0
-416999969	-2090498086	1396919380	object/cell/shared_cell.iff	16	0	0	0	1	0	0	0	0	0
-1804617885	-2090498086	1396919380	object/cell/shared_cell.iff	17	0	0	0	1	0	0	0	0	0
-2088211943	0	1112885583	object/building/naboo/shared_filler_nboo_bldg_64x32_style_01.iff	0	591.042	6	143.115	0.92388	0	0.382683	0	512	0
-2080024834	0	1398030671	object/static/structure/naboo/shared_seawall_corner.iff	0	856.167	0.200344	122.34	-0.253016	0	0.967463	0	200	0
-2078548910	0	1398030671	object/static/structure/naboo/shared_seawall_rocks_naboo_theed_style_1.iff	0	865.842	0.101723	362.134	0.717353	0	0.69671	0	200	0
-2070113808	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_crate_metal_1.iff	0	707.772	6	77.2271	0.958244	0	-0.285952	0	32	0
-2065326942	0	1112885583	object/building/naboo/shared_filler_nboo_bldg_64x32_style_01.iff	0	378.259	6	214.128	-0.0618635	0	0.998085	0	512	0
-2064323194	0	1413566031	object/tangible/furniture/modern/shared_chair_modern_style_01.iff	0	672.906	52.8987	710.342	0.716795	0	0.697284	0	50	0
-2062139072	0	1398030671	object/static/structure/general/shared_streetlamp_small_red_style_01.iff	0	509.366	5.87351	12.3579	1	0	0	0	200	0
