item	cash	class	script	note
s[none]	i[0]	i[0]	s	c
object/tangible/wearables/bandolier/bandolier_s01.iff	1			
object/tangible/wearables/bandolier/bandolier_s02.iff	1			
object/tangible/wearables/bandolier/bandolier_s02_quest.iff	1			
object/tangible/wearables/bandolier/bandolier_s03.iff	1			
object/tangible/wearables/bandolier/bandolier_s04.iff	1			
object/tangible/wearables/bandolier/bandolier_s04_quest.iff	1			
object/tangible/wearables/bandolier/bandolier_s05.iff	1			
object/tangible/wearables/bandolier/bandolier_s06.iff	1			
object/tangible/wearables/bandolier/bandolier_s07.iff	1			
object/tangible/wearables/bandolier/bandolier_s08.iff	1			
object/tangible/wearables/bandolier/bandolier_s09.iff	1			
object/tangible/wearables/bandolier/bandolier_tusken_raider_s01.iff	1			
object/tangible/wearables/bandolier/bandolier_tusken_raider_s02.iff	1			
object/tangible/wearables/bandolier/bandolier_tusken_raider_s03.iff	1			
object/tangible/wearables/bandolier/bandolier_tusken_raider_s04.iff	1			
object/tangible/wearables/bandolier/bandolier_tusken_raider_s05.iff	1			
object/tangible/wearables/bandolier/bandolier_tusken_raider_s06.iff	1			
object/tangible/wearables/bandolier/double_bandolier.iff	1			
object/tangible/wearables/bandolier/ith_double_bandolier.iff	1			
object/tangible/wearables/bandolier/ith_mercenary_bandolier.iff	1			
object/tangible/wearables/bandolier/ith_multipocket_bandolier.iff	1			
object/tangible/wearables/bandolier/lifeday_08_bandolier.iff	1			
object/tangible/wearables/bandolier/mercenary_bandolier.iff	1			
object/tangible/wearables/bandolier/multipocket_bandolier.iff	1			
object/tangible/wearables/bandolier/npe_bandolier.iff	1			
object/tangible/wearables/bandolier/npe_bandolier_02.iff	1			
