item	cash	class	script	note
s[none]	i[0]	i[0]	s	c
object/tangible/wearables/belt/aakuan_belt.iff	1			
object/tangible/wearables/belt/appearance_invisible_s01.iff	1			
object/tangible/wearables/belt/belt_faux_mabari_generic.iff	1			
object/tangible/wearables/belt/belt_s01.iff	1			
object/tangible/wearables/belt/belt_s02.iff	1			
object/tangible/wearables/belt/belt_s03.iff	1			
object/tangible/wearables/belt/belt_s04.iff	1			
object/tangible/wearables/belt/belt_s05.iff	1			
object/tangible/wearables/belt/belt_s05_quest.iff	1			
object/tangible/wearables/belt/belt_s07.iff	1			
object/tangible/wearables/belt/belt_s09.iff	1			
object/tangible/wearables/belt/belt_s11.iff	1			
object/tangible/wearables/belt/belt_s12.iff	1			
object/tangible/wearables/belt/belt_s13.iff	1			
object/tangible/wearables/belt/belt_s14.iff	1			
object/tangible/wearables/belt/belt_s15.iff	1			
object/tangible/wearables/belt/belt_s16.iff	1			
object/tangible/wearables/belt/belt_s17.iff	1			
object/tangible/wearables/belt/belt_s18.iff	1			
object/tangible/wearables/belt/belt_s19.iff	1			
object/tangible/wearables/belt/belt_s20.iff	1			
object/tangible/wearables/belt/belt_whip_s01.iff	1			
object/tangible/wearables/belt/npe_belt_01.iff	1			
object/tangible/wearables/belt/npe_belt_02.iff	1			
object/tangible/wearables/belt/npe_belt_03.iff	1			
