item	cash	class	script	note
s[none]	i[0]	i[0]	s	c
object/tangible/wearables/backpack/back_gmf_wings.iff	1			
object/tangible/wearables/backpack/back_love_day_10_blue_wings.iff	1			
object/tangible/wearables/backpack/back_love_day_10_golden_wings.iff	1			
object/tangible/wearables/backpack/back_love_day_10_pink_wings.iff	1			
object/tangible/wearables/backpack/back_love_day_11_hue_wings.iff	1			
object/tangible/wearables/backpack/back_love_day_wings.iff	1			
object/tangible/wearables/backpack/backpack_clone_trooper.iff	1			
object/tangible/wearables/backpack/backpack_galactic_marine.iff	1			
object/tangible/wearables/backpack/backpack_gmf_01.iff	1			
object/tangible/wearables/backpack/backpack_krayt_skull.iff	1			
object/tangible/wearables/backpack/backpack_rebel_snow_soldier.iff	1			
object/tangible/wearables/backpack/backpack_s01.iff	1			
object/tangible/wearables/backpack/backpack_s01_treasure_map.iff	1			
object/tangible/wearables/backpack/backpack_s03.iff	1			
object/tangible/wearables/backpack/backpack_s03_quest.iff	1			
object/tangible/wearables/backpack/backpack_s04.iff	1			
object/tangible/wearables/backpack/backpack_s05.iff	1			
object/tangible/wearables/backpack/backpack_s06.iff	1			
object/tangible/wearables/backpack/backpack_s06_quest.iff	1			
object/tangible/wearables/backpack/backpack_s06_treasure_map.iff	1			
object/tangible/wearables/backpack/backpack_s07.iff	1			
object/tangible/wearables/backpack/backpack_s08.iff	1			
object/tangible/wearables/backpack/backpack_s09.iff	1			
object/tangible/wearables/backpack/backpack_snowtrooper.iff	1			
object/tangible/wearables/backpack/backpack_tauntaun_skull.iff	1			
object/tangible/wearables/backpack/empireday_rebel_endor_backpack.iff	1			
object/tangible/wearables/backpack/empireday_sandtrooper_backpack.iff	1			
object/tangible/wearables/backpack/ep3_chiss_poacher_backpack.iff	1			
object/tangible/wearables/backpack/ep3_chiss_poacher_player_backpack.iff	1			
object/tangible/wearables/backpack/fannypack_s01.iff	1			
object/tangible/wearables/backpack/padawan_pouch.iff	1			
object/tangible/wearables/backpack/singing_mountain_clan_backpack.iff	1			
