item	cash	token15	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]
armor_mandalorian_rebel_helmet_04_01		800
armor_mandalorian_rebel_chest_plate_04_01		1000
armor_mandalorian_rebel_bicep_l_04_01		250
armor_mandalorian_rebel_bicep_r_04_01		250
armor_mandalorian_rebel_bracer_l_04_01		250
armor_mandalorian_rebel_bracer_r_04_01		250
armor_mandalorian_rebel_gloves_04_01		300
armor_mandalorian_rebel_belt_04_01		300
armor_mandalorian_rebel_leggings_04_01		800
armor_mandalorian_rebel_boots_04_01		500
weapon_rebel_heavy_04_01		500
weapon_rebel_rifle_04_01		500
weapon_rebel_pistol_04_01		500
weapon_rebel_sword_04_01		500
weapon_mandalorian_pistol_04_01		500
weapon_mandalorian_rifle_04_01		500
weapon_mandalorian_carbine_04_01		500
weapon_mandalorian_heavy_04_01		500
weapon_mandalorian_sword_04_01		500
item_restuss_schematic_dye_kit_01_01		50
