item	cash	token0	token1	token2	token3	token4	token5	token6	token7	token8	token9	token10	token11	token12	token13	token14	token23	token24	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_pgc_booster_pack																	10		0		"See library.utils for the int value of the classes. 0 is ""all"" but will only show if there are no items for the opener's class."
item_pgc_booster_pack_goto																	10
item_pgc_booster_pack_comm																	10
item_deed_landspeeder_usv5_s02																		25			"So in the case of this table only traders will see the ""all"" items."
item_deed_podracer_anakin																		25
item_pgc_starship_storage_device_01																		25
item_pgc_sandcrawler_house_deed																		25
item_pgc_monitorscreen																	250
item_pgc_monitorscreen_sm																	150
item_pgc_glass_pane_01																	169				
item_pgc_glass_pane_02																	169				
item_pgc_jabba_chandelier																	184				
item_pgc_jabba_drapes																	199				
item_pgc_jabba_fancyrug																	192				
item_pgc_jabba_gargoyle																	171
item_pgc_jabba_generator																	203
item_pgc_jabba_table																	224
item_pgc_jabba_tassels																	184
item_pgc_jabba_windchime																	176
item_pgc_fireplace																	269
item_pgc_decal_pgc_s01																	204
item_pgc_decal_pgc_s02																	204
item_pgc_decal_pgc_s03																	204
item_pgc_decal_pgc_s04																	204
item_pgc_decal_pgc_s05																	204
item_pgc_decal_pgc_s06																	204
item_pgc_planet_hologram_corellia																	200
item_pgc_planet_hologram_dantooine																	200
item_pgc_planet_hologram_dathomir																	200
item_pgc_planet_hologram_endor																	200
item_pgc_planet_hologram_lok																	200
item_pgc_planet_hologram_naboo																	200
item_pgc_planet_hologram_rori																	200
item_pgc_planet_hologram_talus																	200
item_pgc_planet_hologram_tatooine																	200
item_pgc_planet_hologram_yavin4																	200
item_pgc_planet_hologram_corellia_02																	100
item_pgc_planet_hologram_dantooine_02																	100
item_pgc_planet_hologram_dathomir_02																	100
item_pgc_planet_hologram_endor_02																	100
item_pgc_planet_hologram_lok_02																	100
item_pgc_planet_hologram_naboo_02																	100
item_pgc_planet_hologram_rori_02																	100
item_pgc_planet_hologram_talus_02																	100
item_pgc_planet_hologram_tatooine_02																	100
item_pgc_planet_hologram_yavin4_02																	100
item_pgc_token_03																	1000
item_costume_chiss_01																	50
item_costume_exar_kun_cultist																	50
item_costume_kit	150
